issue,firstpage,film,dimension_1,dimension_2,area,date,names
THR-40,7,I SMILE BACK,6.5,10,65,12/4/15,silverman  
THR-40,9,THE PEANUTS MOVIE,10,13,130,12/4/15,  
THR-40,10,BLACK MASS,10,13,130,12/4/15,depp  
THR-40,13,LOVE & MERCY,10,13,130,12/4/15,dano banks cusack  
THR-40,15,FURIOUS 7,10,13,130,12/4/15,song  
THR-40,16,ILL SEE YOU IN MY DREAMS,5,13,65,12/4/15,dancer  
THR-40,17,CONCUSSION,10,13,130,12/4/15,smith  
THR-40,19,SPECTRE,10,13,130,12/4/15,song  
THR-40,23,HOME,10,13,130,12/4/15,jlo  
THR-40,28,SON OF SAUL,6.5,10,65,12/4/15,rohrig  
THR-40,29,TRUTH,6.5,10,65,12/4/15,redford blanchett 
THR-40,31,SICARIO,10,13,130,12/4/15,  
THR-40,35,MR HOLMES,10,13,130,12/4/15,mckellen  
THR-40,38,MINIONS,20,13,260,12/4/15,  
THR-40,40,GRANDMA,3.5,10,35,12/4/15,elliot tomlin 
THR-40,41,THE PROPHET,10,13,130,12/4/15,  
THR-40,61,THE LADY IN THE VAN,3,13,39,12/4/15,maggie smith  
THR-40,67,KARSKI & THE LORDS OF HUMANITY,5,13,65,12/4/15,  
THR-40,81,THE HUNTING GROUND,10,13,130,12/4/15,  
THR-37,12,SUFFRAGETTE,10,13,130,11/13/15,mulligan  
THR-37,20,THE DANISH GIRL,14.5,13,188.5,11/13/15,redmayne vikander 
THR-37,23,GRANDMA,3,13,39,11/13/15,tomlin  
THR-37,39,BECOMING BULLETPROOF,10,13,130,11/13/15,  
THR-37,46,YOU CARRY ME,3.75,13,48.75,11/13/15,  
THR-37,99,THE JUDGEMENT,6.5,10,65,11/13/15,  
THR-37,107,HOME CARE,6.5,10,65,11/13/15,  
THR-38,0,BRIDGE OF SPIES,20,13,260,11/20/15,hanks  
THR-38,7,INSIDE OUT,10,13,130,11/20/15,  
THR-38,9,LOVE & MERCY,10,13,130,11/20/15,  
THR-38,10,BEASTS OF NO NATION,20,13,260,11/20/15,idris  
THR-38,13,TRUMBO,10,13,130,11/20/15,cranston  
THR-38,14,TRUTH,10,13,130,11/20/15,blanchett redford 
THR-38,19,STRAIGHT OUTTA COMPTON,10,13,130,11/20/15,  
THR-38,22,THE DANISH GIRL,15,13,195,11/20/15,  
THR-38,27,GRANDMA,3.5,10,35,11/20/15,elliot tomlin 
THR-38,42,THE MARTIAN,15,13,195,11/20/15,damon  
THR-38,83,THE CLUB,6.5,5,32.5,11/20/15,  
THR-39,0,STEVE JOBS,20,13,260,11/27/15,fassbender winslet 
THR-39,2,BLACK MASS,20,13,260,11/27/15,  
THR-39,9,THE MARTIAN,10,13,130,11/27/15,damon  
THR-39,10,STRAIGHT OUTTA COMPTON,20,13,260,11/27/15,  
THR-39,14,BEASTS OF NO NATION,20,13,260,11/27/15,idris elba  
THR-39,26,99 HOMES,10,13,130,11/27/15,shannon  
THR-39,29,SUFFRAGETTE,10,13,130,11/27/15,mulligan  
THR-39,31,CAROL,10,13,130,11/27/15,blanchett mara 
THR-39,34,ILL SEE YOU IN MY DREAMS,5,13,65,11/27/15,dancer  
THR-39,35,LEARNING TO DRIVE,6.5,10,65,11/27/15,  
THR-39,35,I SMILE BACK,6.5,10,65,11/27/15,silverman  
THR-39,38,SON OF SAUL,3.5,10,35,11/27/15,rohrig  
THR-39,41,TRAINWRECK,10,13,130,11/27/15,schumer  
THR-39,43,SICARIO,10,13,130,11/27/15,blunt brolin toro  
THR-39,45,THE HATEFUL EIGHT,10,13,130,11/27/15,  
THR-39,50,THE DANISH GIRL,10,13,130,11/27/15,redmayne vikander 
THR-39,53,TRUMBO,10,13,130,11/27/15,cranston  
THR-39,55,ROOM,10,13,130,11/27/15,larson tremblay 
THR-39,59,LOVE & MERCY,10,13,130,11/27/15,dano  
THR-39,63,TRUTH,10,13,130,11/27/15,redford blanchett 
THR-39,65,LEGEND,10,13,130,11/27/15,hardy  
THR-39,66,GRANDMA,3.5,10,35,11/27/15,tomlin elliot 
THR-39,67,SOUTHPAW,10,13,130,11/27/15,gyllenhal  
THR-39,75,MACBETH,10,13,130,11/27/15,cotillard fassbender 
THR-39,144,THE LADY IN THE VAN,3,13,39,11/27/15,maggie smith  
THR-39,146,SIVAS,6.5,10,65,11/27/15,  
THR-39,147,THE SECOND MOTHER,10,13,130,11/27/15,  
THR-39,151,MEADOWLAND,6.5,10,65,11/27/15,wilde  
VAR-07,COV,THE REVENANT,10.25,13.25,135.8125,12/15/15,  
VAR-07,6,SON OF SAUL,4.25,13.25,56.3125,12/15/15,  
